category,product_code,part_name,material,processes,process_count
冷箱阀DL系列,T151DL150F,保温筒,06Cr19Ni10,下料 → 卷筒 → 焊接 → 校圆 → 焊接 → 钳 → 清洗,7
冷箱阀DL系列,T152DL150F,保温筒,06Cr19Ni10,下料 → 卷筒 → 焊接 → 校圆 → 焊接 → 钳 → 清洗,7
冷箱阀DL系列,T153DL150F,保温筒,06Cr19Ni10,下料 → 卷筒 → 焊接 → 校圆 → 焊接 → 钳 → 清洗,7
冷箱阀DL系列,T300DL25F,保温筒,06Cr19Ni10,下料 → 卷筒 → 焊接 → 校圆 → 焊接 → 钳 → 清洗,7
冷箱阀DL系列,T301DL25F,保温筒,06Cr19Ni10,下料 → 卷筒 → 焊接 → 校圆 → 焊接 → 钳 → 清洗,7
冷箱阀DL系列,T302DL25F,保温筒,06Cr19Ni10,下料 → 卷筒 → 焊接 → 校圆 → 焊接 → 钳 → 清洗,7
冷箱阀DL系列,T303DL25F,保温筒,06Cr19Ni10,下料 → 卷筒 → 焊接 → 校圆 → 焊接 → 钳 → 清洗,7
冷箱阀DL系列,T304DL25F,保温筒,06Cr19Ni10,下料 → 卷筒 → 焊接 → 校圆 → 焊接 → 钳 → 清洗,7
冷箱阀DL系列,T300DL40F,保温筒,06Cr19Ni10,下料 → 卷筒 → 焊接 → 校圆 → 焊接 → 钳 → 清洗,7
冷箱阀DL系列,T301DL40F,保温筒,06Cr19Ni10,下料 → 卷筒 → 焊接 → 校圆 → 焊接 → 钳 → 清洗,7
冷箱阀DL系列,T302DL40F,保温筒,06Cr19Ni10,下料 → 卷筒 → 焊接 → 校圆 → 焊接 → 钳 → 清洗,7
冷箱阀DL系列,T303DL40F,保温筒,06Cr19Ni10,下料 → 卷筒 → 焊接 → 校圆 → 焊接 → 钳 → 清洗,7
冷箱阀DL系列,T304DL40F,保温筒,06Cr19Ni10,下料 → 卷筒 → 焊接 → 校圆 → 焊接 → 钳 → 清洗,7
冷箱阀DL系列,T301DL80F,保温筒,06Cr19Ni10,下料 → 卷筒 → 焊接 → 校圆 → 焊接 → 钳 → 清洗,7
冷箱阀DL系列,T302DL80F,保温筒,06Cr19Ni10,下料 → 卷筒 → 焊接 → 校圆 → 焊接 → 钳 → 清洗,7
冷箱阀DL系列,T303DL80F,保温筒,06Cr19Ni10,下料 → 卷筒 → 焊接 → 校圆 → 焊接 → 钳 → 清洗,7
冷箱阀DL系列,T304DL80F,保温筒,06Cr19Ni10,下料 → 卷筒 → 焊接 → 校圆 → 焊接 → 钳 → 清洗,7
冷箱阀DL系列,T300DL100F,保温筒,06Cr19Ni10,下料 → 卷筒 → 焊接 → 校圆 → 焊接 → 钳 → 清洗,7
冷箱阀DL系列,T301DL100F,保温筒,06Cr19Ni10,下料 → 卷筒 → 焊接 → 校圆 → 焊接 → 钳 → 清洗,7
